DPTO_NORM,ANIO,PROYECCION_LINEAL,PROYECCION_GEOMETRICA,DIFERENCIA_ABS,DIFERENCIA_PCT_SOBRE_GEOM
NEEMBUCU,2028,18934.000000000004,13366.72915517763,5567.270844822373,41.6502106101692
NEEMBUCU,2029,18956.800000000007,12952.581431846203,6004.218568153803,46.35538174183081
NEEMBUCU,2030,18979.600000000002,12551.26544429317,6428.334555706831,51.216625002777526
NEEMBUCU,2031,19002.400000000005,12162.383620749306,6840.016379250699,56.23911062615616
NEEMBUCU,2032,19025.2,11785.55070760049,7239.64929239951,61.42817991297316
AMAMBAY,2023,49550.10999999987,48141.053532963924,1409.0564670359454,2.9269331757999715
AMAMBAY,2024,50296.61999999988,48516.00484129243,1780.6151587074492,3.6701603203566977
AMAMBAY,2025,51043.12999999989,48893.87649459264,2149.2535054072505,4.395751900843748
AMAMBAY,2026,51789.6399999999,49274.69123825725,2514.9487617426494,5.103936115159305
AMAMBAY,2027,52536.14999999991,49658.47199483368,2877.678005166228,5.794938687331365
AMAMBAY,2028,53282.659999999916,50045.241865403885,3237.4181345960315,6.4689828921259505
AMAMBAY,2029,54029.169999999925,50435.02413097481,3594.1458690251166,7.126289579422967
AMAMBAY,2030,54775.679999999935,50827.842253879826,3947.837746120109,7.7670771983612195
AMAMBAY,2031,55522.189999999944,51223.71987919098,4298.470120808961,8.391561821255317
AMAMBAY,2032,56268.69999999995,51622.6808361423,4646.019163857651,8.999957167286166
CANINDEYU,2023,58809.77000000002,51125.187338164804,7684.582661835215,15.030913453687623
CANINDEYU,2024,59749.54000000004,50514.75137433946,9234.788625660578,18.28137004421975
CANINDEYU,2025,60689.310000000056,49911.6040305727,10777.705969427356,21.593587661149126
CANINDEYU,2026,61629.080000000075,49315.65828056608,12313.421719433994,24.96858431733916
CANINDEYU,2027,62568.85000000009,48726.82813711727,13842.021862882822,28.40739361062325
CANINDEYU,2028,63508.62000000011,48145.02863971321,15363.591360286904,31.91106495181103
CANINDEYU,2029,64448.39000000013,47570.17584227137,16878.214157728762,35.480663795929466
CANINDEYU,2030,65388.159999999916,47002.18680102749,18385.973198972424,39.11727187674276
CANINDEYU,2031,66327.92999999993,46440.97956256783,19886.950437432104,42.82198744460012
CANINDEYU,2032,67267.69999999995,45886.4731520044,21381.226847995553,46.59592550764949
PRESIDENTE HAYES,2023,35291.87999999989,33169.316534013575,2122.5634659863135,6.39917757669117
PRESIDENTE HAYES,2024,35897.95999999996,33345.56462791982,2552.3953720801437,7.654377427884533
PRESIDENTE HAYES,2025,36504.039999999804,33522.74923164451,2981.290768355291,8.893336127518557
PRESIDENTE HAYES,2026,37110.11999999988,33700.875321415326,3409.244678584553,10.116190294968803
PRESIDENTE HAYES,2027,37716.19999999995,33879.947899901534,3836.2521000984198,11.323075559126137
PRESIDENTE HAYES,2028,38322.279999999795,34059.97199635457,4262.308003645223,12.514126565052422
PRESIDENTE HAYES,2029,38928.35999999987,34240.952666749195,4687.407333250674,13.68947698059387
PRESIDENTE HAYES,2030,39534.439999999944,34422.894993925576,5111.545006074368,14.849259502945278
PRESIDENTE HAYES,2031,40140.519999999786,34605.804087731965,5534.71591226782,15.993605865178903
PRESIDENTE HAYES,2032,40746.59999999986,34789.6850851683,5956.914914831563,17.122646842730816
BOQUERON,2023,19282.0,19760.522347811115,-478.52234781111474,-2.4216077864162378
BOQUERON,2024,19626.800000000047,20218.414718497515,-591.6147184974689,-2.926118228034019
BOQUERON,2025,19971.599999999977,20686.91740704103,-715.3174070410532,-3.457825025190011
BOQUERON,2026,20316.400000000023,21166.276276557608,-849.8762765575848,-4.015237566840477
BOQUERON,2027,20661.199999999953,21656.742887322573,-995.5428873226192,-4.596918809547257
BOQUERON,2028,21006.0,22158.574628785645,-1152.5746287856455,-5.20148361568512
BOQUERON,2029,21350.800000000047,22672.03485464501,-1321.2348546449648,-5.827597139452493
BOQUERON,2030,21695.599999999977,23197.393021051383,-1501.793021051406,-6.473973259359554
BOQUERON,2031,22040.400000000023,23734.92482801447,-1694.5248280144478,-7.139373055921333
BOQUERON,2032,22385.199999999953,24284.912364086205,-1899.712364086252,-7.822603333317544
ALTO PARAGUAY,2023,4569.649999999994,4356.353878064747,213.29612193524736,4.896207422662398
ALTO PARAGUAY,2024,4621.899999999994,4339.771120724847,282.1288792751475,6.501008265800551
ALTO PARAGUAY,2025,4674.149999999994,4323.2514867786595,350.8985132213347,8.116541780982448
ALTO PARAGUAY,2026,4726.399999999994,4306.794735942693,419.6052640573016,9.742866558172672
ALTO PARAGUAY,2027,4778.649999999994,4290.40062884811,488.2493711518846,11.380041478386838
ALTO PARAGUAY,2028,4830.899999999994,4274.068927037249,556.8310729627456,13.028125715060392
ALTO PARAGUAY,2029,4883.149999999994,4257.799392960153,625.3506070398407,14.687178735423645
ALTO PARAGUAY,2030,4935.399999999994,4241.591789971115,693.8082100288793,16.35726030188313
ALTO PARAGUAY,2031,4987.649999999994,4225.445882325235,762.2041176747589,18.038430473408948
ALTO PARAGUAY,2032,5039.899999999994,4209.361435174996,830.5385648249985,19.730749606928693
